dateid,y,week,soldout,name,kcal,remarks,event,payday,precipitation,temperature,main_曇,main_大雨,main_晴,main_雨,main_快晴,main_薄曇,sub_曇,sub_ひょう,sub_雪,sub_大雨,sub_雷,sub_晴,sub_雨,sub_みぞれ,sub_薄曇
2014-04-01,125.0,Tue,1,メンチカツ,377.0,,,,0.0,13.9,,,1.0,,,,,,,,,,,,1.0
2014-04-02,99.0,Wed,0,肉じゃが,380.0,,,,0.0,15.2,,,,,,1.0,,,,,,1.0,,,
2014-04-03,100.0,Thu,1,酢豚,390.0,,,,65.0,13.8,,1.0,,,,,,,,,,,,,
2014-04-04,90.0,Fri,1,和風ソースハンバーグ,350.0,,,,40.0,15.3,,,1.0,,,,1.0,,,,1.0,,1.0,,
2014-04-07,107.0,Mon,0,青梗菜牛肉炒め,387.0,,,,0.0,11.4,,,1.0,,,,,,,,,,,,1.0
2014-04-08,96.0,Tue,1,肉団子のシチュー,353.0,,,,0.0,15.8,,,,,1.0,,,,,,,,,,
2014-04-09,88.0,Wed,1,青椒肉絲,376.0,,,,0.0,15.5,,,1.0,,,,,,,,,,,,1.0
2014-04-10,87.0,Thu,0,鶏の唐揚げおろしソース,362.0,,,1.0,0.0,16.1,,,1.0,,,,,,,,,,,,
2014-04-11,128.0,Fri,1,チキンカレー,,お楽しみメニュー,,,0.0,12.9,,,1.0,,,,,,,,,,,,
2014-04-14,92.0,Mon,0,ビーフトマト煮,340.0,,,,0.0,14.0,,,1.0,,,,1.0,,,,,,,,
2014-04-15,82.0,Tue,0,ポーク生姜焼き,370.0,,,,0.0,16.3,,,,,1.0,,,,,,,,,,
2014-04-16,57.0,Wed,0,カレイ唐揚げ野菜あんかけ,330.0,,,,0.0,18.7,,,,,,1.0,,,,,,,,,
2014-04-17,57.0,Thu,0,牛丼風煮,333.0,,,,0.0,17.7,,,1.0,,,,,,,,,,,,1.0
2014-04-18,56.0,Fri,1,鶏の味噌漬け焼き,325.0,,ママの会,,0.5,11.8,,,,1.0,,,1.0,,,,,,,,
2014-04-21,109.0,Mon,0,牛肉筍煮,375.0,,キャリアアップ支援セミナー,,7.0,13.4,,,,1.0,,,1.0,,,,,,,,
2014-04-22,78.0,Tue,1,マーボ豆腐,382.0,,,,4.5,15.2,1.0,,,,,,,,,,,1.0,1.0,,
2014-04-23,63.0,Wed,0,手作りひれかつ,340.0,,,,3.5,16.2,,,1.0,,,,,,,,,,,,
2014-04-24,56.0,Thu,1,鶏の照り焼きマヨ,360.0,,,,0.0,16.6,,,1.0,,,,,,,,,,,,
2014-04-25,80.0,Fri,0,中華丼,,お楽しみメニュー,,,0.0,17.8,,,1.0,,,,,,,,,,,,1.0
2014-04-28,54.0,Mon,0,タンドリーチキン,342.0,,,,0.0,18.6,1.0,,,,,,,,,,,,,,
2014-04-30,97.0,Wed,1,豚味噌メンチカツ,368.0,,,,27.0,16.7,,,,1.0,,,,,,,,,,,
2014-05-01,64.0,Thu,0,マーボ茄子,415.0,,,,23.0,20.6,1.0,,,,,,,,,,,1.0,1.0,,
2014-05-02,47.0,Fri,0,鶏の天ぷら,420.0,,,,0.0,21.0,,,1.0,,,,,,,,,,,,
2014-05-07,88.0,Wed,1,肉じゃが,415.0,,,,0.0,16.5,,,1.0,,,,,,,,,,,,
2014-05-08,59.0,Thu,0,メンチカツ,405.0,,,,0.0,18.7,,,,,,1.0,,,,,,,,,
2014-05-09,58.0,Fri,1,手作りチキンカツ,434.0,,,1.0,1.5,19.3,,,1.0,,,,,1.0,,,1.0,,1.0,,
2014-05-12,73.0,Mon,0,きのこソースハンバーグ,400.0,,,,1.0,19.6,,,,,,1.0,,,,,,,,,
2014-05-13,70.0,Tue,1,白身魚唐揚げ野菜餡かけ,428.0,,,,5.5,19.3,,,,1.0,,,1.0,,,,,1.0,,,
2014-05-14,64.0,Wed,1,メンチカツ,430.0,,,,0.0,21.9,,,,,,1.0,,,,,,,,,
2014-05-15,58.0,Thu,1,タンドリーチキン,403.0,,,,0.5,19.9,1.0,,,,,,,,,,,1.0,1.0,,
2014-05-16,126.0,Fri,0,ポークカレー,,お楽しみメニュー,ママの会,,0.0,21.5,,,1.0,,,,,,,,,,1.0,,
2014-05-19,70.0,Mon,1,豚肉と茄子のピリ辛炒め,406.0,,キャリアアップ支援セミナー,,0.0,21.1,,,,,,1.0,,,,,,,,,
2014-05-20,71.0,Tue,0,鶏の味噌漬け焼き,425.0,,,,0.0,21.7,,,,,,1.0,,,,,,,,,
2014-05-21,104.0,Wed,1,チーズハンバーグ,430.0,,,,52.0,17.5,,1.0,,,,,,,,,,,,,
2014-05-22,54.0,Thu,1,サーモンのムニエル2色ソース,428.0,こだわりメニュー,,,19.5,18.6,,,1.0,,,,,,,,1.0,,1.0,,
2014-05-23,65.0,Fri,0,牛肉コロッケ,400.0,,,,0.0,17.8,,,,,,1.0,,,,,,,,,
2014-05-26,77.0,Mon,1,鶏のカッシュナッツ炒め,430.0,,,,7.5,21.3,,,,,,1.0,,,,,,,,,
2014-05-27,79.0,Tue,0,牛肉すき焼き風,423.0,,,,21.5,21.4,1.0,,,,,,,,,,,,1.0,,
2014-05-28,74.0,Wed,1,鶏の唐揚げおろしソース,414.0,,,,0.0,22.7,,,,,,1.0,,,,,,,,,
2014-05-29,64.0,Thu,1,いか天ぷら,438.0,,,,0.0,23.1,,,1.0,,,,,,,,,,,,1.0
2014-05-30,119.0,Fri,0,チキンカレー,,お楽しみメニュー,,,0.0,24.1,,,,,,1.0,,,,,,1.0,,,
2014-06-02,74.0,Mon,0,ハンバーグケッチャップソース,420.0,,,,0.0,25.5,,,1.0,,,,,,,,,,,,1.0
2014-06-03,59.0,Tue,0,ゴーヤチャンプルー,418.0,,,,0.0,24.0,,,,,,1.0,,,,,,,,,
2014-06-04,47.0,Wed,0,たっぷりベーコンフライ,424.0,,,,0.0,24.3,,,1.0,,,,,,,,,,,,1.0
2014-06-05,64.0,Thu,1,鶏の味噌漬け焼き,405.0,,,,18.0,21.2,,,,1.0,,,1.0,,,,,,,,
2014-06-06,93.0,Fri,0,手作りロースカツ,430.0,,,,123.5,19.9,,1.0,,,,,,,,,,,,,
2014-06-09,74.0,Mon,1,牛肉ニンニクの芽炒め,417.0,,,,4.5,22.9,1.0,,,,,,,,,,,,1.0,,
2014-06-10,56.0,Tue,0,カレイ唐揚げ野菜餡かけ,426.0,,,1.0,2.0,23.5,1.0,,,,,,,,,,,,,,
2014-06-11,50.0,Wed,1,チャプチェ,413.0,,,,13.0,22.2,,,,1.0,,,1.0,,,,,,,,
2014-06-12,72.0,Thu,1,タンドリーチキン,440.0,,,,16.0,22.0,,,,1.0,,,1.0,,,,,,,,
2014-06-13,121.0,Fri,0,キーマカレー,,お楽しみメニュー,,,1.5,24.9,,,1.0,,,,,,,,1.0,,1.0,,
2014-06-16,76.0,Mon,1,牛すき焼き風,440.0,,,,0.0,25.0,,,,,,1.0,,,,,,1.0,,,
2014-06-17,63.0,Tue,0,ポークソテー韓国ソース,427.0,,,,0.0,24.3,,,,,,1.0,,,,,,,,,
2014-06-18,66.0,Wed,1,ビーフストロガノフ,426.0,こだわりメニュー,,,0.0,23.2,1.0,,,,,,,,,,,,1.0,,
2014-06-19,56.0,Thu,0,アジ唐揚げ南蛮ソース,430.0,,,,0.0,24.8,,,1.0,,,,,,,,,,,,
2014-06-20,57.0,Fri,0,炊き込みご飯,407.0,,,,0.0,24.6,,,,,,1.0,,,,,,1.0,,,
2014-06-23,72.0,Mon,0,マーボ茄子,421.0,,,,0.0,24.2,1.0,,,,,,,,,,,,,,
2014-06-24,61.0,Tue,0,鶏のトマトシチュー,430.0,,,,5.0,22.6,1.0,,,,,,,,,,1.0,,1.0,,
2014-06-25,64.0,Wed,1,豚の冷しゃぶ,420.0,,,,5.5,22.6,1.0,,,,,,,,,,1.0,,1.0,,
2014-06-26,49.0,Thu,0,キスと野菜の天ぷら,414.0,,,,0.0,23.6,1.0,,,,,,,,,,,,,,
2014-06-27,74.0,Fri,0,牛丼,,お楽しみメニュー,,,7.5,23.9,1.0,,,,,,,,,,,,1.0,,
2014-06-30,65.0,Mon,0,鶏の塩から揚げ,435.0,,,,0.0,23.6,1.0,,,,,,,,,,,,,,
2014-07-01,54.0,Tue,0,カレイ唐揚げ夏野菜あん,362.0,,,,1.5,25.3,1.0,,,,,,,,,,,1.0,,,
2014-07-02,50.0,Wed,1,タンドリーチキン,363.0,,,,0.0,25.8,,,1.0,,,,1.0,,,,,,,,
2014-07-03,53.0,Thu,0,白身魚ムニエル,412.0,,,,2.0,24.8,1.0,,,,,,,,,,,,1.0,,
2014-07-04,63.0,Fri,0,手作りトンカツ,432.0,,,,5.0,21.6,,,,1.0,,,1.0,,,,,,,,
2014-07-07,82.0,Mon,1,和風ハンバーグ,354.0,,,,7.0,23.4,,,,1.0,,,1.0,,,,,,,,
2014-07-08,56.0,Tue,0,かじきの甘辛煮,370.0,,,,0.0,26.8,,,1.0,,,,,,,,,,,,
2014-07-09,54.0,Wed,1,チキンのコーンクリーム焼き,388.0,こだわりメニュー,,,9.0,24.2,1.0,,,,,,,,,,,,1.0,,
2014-07-10,48.0,Thu,0,プルコギ,386.0,,,1.0,3.5,26.6,1.0,,,,,,,,,,,,1.0,,
2014-07-11,124.0,Fri,0,ポークカレー,,お楽しみメニュー,,,4.0,28.5,1.0,,,,,,,,,,,1.0,,,
2014-07-14,65.0,Mon,1,鶏のから揚げねぎ塩炒めソース,418.0,,,,0.0,28.5,1.0,,,,,,,,,,,1.0,1.0,,
2014-07-15,51.0,Tue,0,豚冷シャブ野菜添え,324.0,,,,0.0,28.2,,,1.0,,,,1.0,,,,,,,,
2014-07-16,53.0,Wed,1,白身魚フライ,434.0,,,,0.0,28.0,,,1.0,,,,,,,,,,,,
2014-07-17,53.0,Thu,1,豚すき焼き,418.0,,ママの会,,0.0,27.1,1.0,,,,,,,,,,,1.0,,,
2014-07-18,55.0,Fri,1,エビフライ,401.0,,,,2.5,24.9,1.0,,,,,,,,,,,,,,
2014-07-22,53.0,Tue,0,チンジャオロース,409.0,,,,0.0,27.7,,,,,,1.0,,,,,,1.0,,,
2014-07-23,56.0,Wed,1,八宝菜,355.0,,,,0.0,29.4,,,,,,1.0,,,,,,,,,
2014-07-24,62.0,Thu,1,ジャンボチキンカツ,410.0,,,,7.0,29.9,1.0,,,,,,,,,,,,1.0,,
2014-07-25,83.0,Fri,0,ひやしたぬきうどん・炊き込みご飯,,お楽しみメニュー,,,0.0,30.5,,,1.0,,,,,,,,,,,,
2014-07-28,65.0,Mon,1,豚肉のマスタード焼き,432.0,,,,0.0,27.7,,,1.0,,,,1.0,,,,,,,,
2014-07-29,52.0,Tue,0,バーベキューチキン,449.0,,,,0.0,27.6,,,1.0,,,,,,,,,,,,
2014-07-30,58.0,Wed,0,メンチカツ,441.0,,,,0.0,27.9,,,1.0,,,,,,,,,,,,
2014-07-31,60.0,Thu,0,鶏のから揚げスイートチリソース,386.0,,,,0.0,29.5,,,1.0,,,,,,,,,,,,
2014-08-01,38.0,Fri,0,豚肉の生姜焼き,380.0,,,,0.0,29.8,,,,,,1.0,,,,,,1.0,,,
2014-08-04,75.0,Mon,1,ハンバーグ（デミきのこバター）,410.0,,,,0.0,30.5,,,,,,1.0,,,,,,,,,
2014-08-05,54.0,Tue,1,鶏肉のカレー唐揚,400.0,,,,0.0,31.1,,,,,1.0,,,,,,,,,,
2014-08-06,58.0,Wed,1,豚キムチ炒め,410.0,,,,0.0,30.8,,,,,1.0,,,,,,,,,,
2014-08-07,63.0,Thu,0,チキン香草焼きマスタードソース,415.0,,,,0.0,29.7,,,1.0,,,,,,,,,,,,
2014-08-08,129.0,Fri,0,チキンカレー,,お楽しみメニュー,,1.0,0.0,29.0,1.0,,,,,,,,,,,,1.0,,
2014-08-11,45.0,Mon,0,サーモンフライ・タルタル,411.0,,,,0.0,29.4,,,1.0,,,,1.0,,,,,,,,
2014-08-12,40.0,Tue,1,厚切ハムカツ,400.0,,,,0.5,26.3,1.0,,,,,,,,,,,,1.0,,
2014-08-18,56.0,Mon,0,洋食屋さんのメンチカツ,396.0,,,,0.0,29.1,1.0,,,,,,,,,,,1.0,,,
2014-08-19,53.0,Tue,1,牛スキヤキ,385.0,,,,0.0,30.3,,,1.0,,,,,,,,,,,,
2014-08-20,56.0,Wed,0,豚ロースのピザ風チーズ焼き,423.0,こだわりメニュー,ママの会,,0.0,31.1,,,1.0,,,,,,,,,,,,
2014-08-21,54.0,Thu,0,チキン南蛮,405.0,,キャリアアップ支援セミナー,,0.0,30.5,,,1.0,,,,1.0,,,,,,,,
2014-08-22,100.0,Fri,1,ロコモコ丼,,お楽しみメニュー,,,0.0,30.2,,,1.0,,,,,,,,,,,,
2014-08-25,55.0,Mon,0,白身魚の南部焼き,412.0,,,,0.0,27.0,1.0,,,,,,,,,,,,1.0,,
2014-08-26,68.0,Tue,0,キーマカレー,400.0,,,,0.0,25.2,,,,1.0,,,1.0,,,,,,,,
2014-08-27,62.0,Wed,0,カレイの唐揚げ,410.0,,,,5.0,21.2,,,,1.0,,,1.0,,,,,,,,
2014-08-28,56.0,Thu,0,豚肉の胡麻シャブ,396.0,,,,7.0,21.1,,,,1.0,,,1.0,,,,,,,,
2014-08-29,39.0,Fri,0,チキンの辛味噌焼き,398.0,,,,0.5,23.3,1.0,,,,,,,,,,,,1.0,,
2014-09-01,65.0,Mon,1,ビーフシチュー,380.0,,,,38.5,21.8,,,,1.0,,,1.0,,,,,,,,
2014-09-02,68.0,Tue,1,名古屋味噌カツ,440.0,,,,0.0,24.5,,,1.0,,,,1.0,,,,,,,,
2014-09-03,53.0,Wed,0,親子煮,408.0,,,,0.0,24.1,1.0,,,,,,,,,,,,,,
2014-09-04,54.0,Thu,1,チキンステーキ・きのこソース,405.0,,,,0.0,25.2,1.0,,,,,,,,,,,,,,
2014-09-05,43.0,Fri,0,メンチカツ,380.0,,,,0.0,27.8,1.0,,,,,,,,,,,1.0,,,
2014-09-08,68.0,Mon,1,鶏肉の山賊焼き,385.0,,,,2.0,22.1,1.0,,,,,,,,,,,,1.0,,
2014-09-09,63.0,Tue,0,ハンバーグデミソース,460.0,,,,1.5,23.5,,,1.0,,,,1.0,,,,,,,,
2014-09-10,54.0,Wed,0,ぶりレモンペッパー焼き,450.0,,,1.0,81.0,23.4,1.0,,,,,,,,,1.0,1.0,,,,
2014-09-11,53.0,Thu,0,手作りチキンカツ,385.0,,,,4.5,21.8,,,,1.0,,,1.0,,,,,,,,
2014-09-12,115.0,Fri,0,ポークカレー,,お楽しみメニュー,,,0.0,23.5,,,1.0,,,,1.0,,,,,,,,
2014-09-16,56.0,Tue,0,チーズメンチカツ,438.0,,,,0.0,25.1,,,1.0,,,,1.0,,,,,,,,
2014-09-17,49.0,Wed,0,チキンフリカッセ,430.0,,ママの会,,0.0,23.3,1.0,,,,,,,,,,,,,,
2014-09-18,46.0,Thu,0,カレイ唐揚げ 甘酢あん,395.0,,,,0.0,22.3,1.0,,,,,,,,,,,,,,
2014-09-19,45.0,Fri,0,厚切イカフライ,400.0,,,,0.0,22.3,,,,,,1.0,,,,,,,,,
2014-09-22,29.0,Mon,0,筑前煮,395.0,,,,0.0,22.6,,,1.0,,,,1.0,,,,,,,,
2014-09-24,59.0,Wed,1,白身魚のマスタード焼き,408.0,,,,8.5,22.4,1.0,,,,,,,,,,,,1.0,,
2014-09-25,50.0,Thu,0,牛カルビ焼き肉,394.0,,,,5.5,24.4,,,,1.0,,,1.0,,,,,,,,
2014-09-29,56.0,Mon,1,豚肉と玉子の炒め,404.0,,,,0.0,23.5,,,,,1.0,,,,,,,,,,
2014-09-30,40.0,Tue,0,鶏肉とカシューナッツ炒め,398.0,,,,0.0,24.7,,,1.0,,,,,,,,,,,,
2014-10-01,53.0,Wed,1,メンチカツ,420.0,,,,5.0,21.2,,,,1.0,,,1.0,,,,,,,,
2014-10-02,41.0,Thu,0,バーベキューチキン,415.0,,,,0.0,21.7,1.0,,,,,,,,,,,,1.0,,
2014-10-03,39.0,Fri,0,豚肉のマスタード焼き,405.0,,,,0.0,25.7,,,1.0,,,,,,,,,,,,
2014-10-06,56.0,Mon,1,麻婆春雨,400.0,,,,123.5,21.3,,1.0,,,,,,,,,,1.0,,,
2014-10-07,61.0,Tue,0,厚揚げ肉みそ炒め,430.0,,,,0.0,20.0,,,1.0,,,,1.0,,,,,,,,
2014-10-08,44.0,Wed,0,完熟トマトのホットカレー,420.0,,,,0.0,20.3,,,1.0,,,,1.0,,,,,,,,
2014-10-09,40.0,Thu,0,豚キムチ炒め,435.0,,キャリアアップ支援セミナー,,0.0,21.0,1.0,,,,,,,,,,,,,,
2014-10-10,114.0,Fri,0,ポークカレー,,お楽しみメニュー,,1.0,0.0,22.4,,,,,,1.0,,,,,,,,,
2014-10-14,61.0,Tue,0,若鶏梅肉包揚げ,408.0,,,,14.0,23.1,,,1.0,,,,1.0,,,,,,,,
2014-10-15,64.0,Wed,1,ミックスグリル,450.0,こだわりメニュー,,,9.0,15.9,,,,1.0,,,1.0,,,,,,,,
2014-10-16,39.0,Thu,0,豚肉と白菜の中華炒め,400.0,,,,0.0,16.8,1.0,,,,,,,,,,,1.0,,,
2014-10-17,43.0,Fri,0,ヒレカツ,415.0,,ママの会,,0.0,18.4,,,,,1.0,,,,,,,,,,
2014-10-20,56.0,Mon,1,豚柳川,426.0,,,,0.0,19.4,,,1.0,,,,1.0,,,,,,1.0,,
2014-10-21,63.0,Tue,0,ポーク生姜焼き,410.0,,,,1.0,19.0,,,,1.0,,,1.0,,,,,,,,
2014-10-22,66.0,Wed,1,麻婆豆腐,415.0,,,,26.0,16.1,,,,1.0,,,,,,,,,,,
2014-10-23,46.0,Thu,1,ビーフストロガノフ,428.0,,,,5.5,14.3,,,,1.0,,,1.0,,,,,,,,
2014-10-24,71.0,Fri,0,唐揚げ丼,,お楽しみメニュー,,,0.0,16.7,,,1.0,,,,1.0,,,,,,,,
2014-10-27,53.0,Mon,1,マス塩焼き,407.0,,,,0.0,19.3,1.0,,,,,,,,,,,1.0,,,
2014-10-28,56.0,Tue,1,チンジャオロース,425.0,,,,0.0,15.8,,,1.0,,,,,,,,,,,,
2014-10-29,50.0,Wed,0,厚切イカフライ,430.0,,,,0.0,16.4,,,,,1.0,,,,,,,,,,
2014-10-30,42.0,Thu,0,鶏肉と野菜の黒胡椒炒め,426.0,,,,0.0,16.8,,,1.0,,,,1.0,,,,,,,,
2014-10-31,32.0,Fri,0,八宝菜,436.0,,,,0.0,18.4,1.0,,,,,,,,,,,,1.0,,
2014-11-04,56.0,Tue,0,豚肉の生姜焼き,440.0,,,,0.0,16.2,,,1.0,,,,,,,,,,,,
2014-11-05,54.0,Wed,1,ハンバーグ,425.0,,,,0.0,15.2,1.0,,,,,,,,,,,,,,
2014-11-06,42.0,Thu,1,彩り野菜と鶏肉の黒酢あん,410.0,,,,2.0,17.7,1.0,,,,,,,,,,,,1.0,,
2014-11-07,124.0,Fri,0,ポークカレー,,お楽しみメニュー,,,0.0,17.7,,,1.0,,,,,,,,,,,,
2014-11-10,57.0,Mon,0,親子煮,412.0,,,1.0,0.5,17.8,,,1.0,,,,1.0,,,,,,,,
2014-11-11,53.0,Tue,0,ポークのバーベキューソテー,426.0,,,,0.0,14.5,1.0,,,,,,,,,,,,1.0,,
2014-11-12,57.0,Wed,0,鶏肉の唐揚げ,418.0,,,,3.0,14.1,1.0,,,,,,,,,,,1.0,1.0,,
2014-11-13,32.0,Thu,1,白身魚味噌焼き,396.0,近隣に飲食店複合ビルオープン,キャリアアップ支援セミナー,,0.0,15.0,,,,,1.0,,,,,,,,,,
2014-11-14,30.0,Fri,1,エビフライ・エビカツ,427.0,,,,0.0,12.8,,,,,1.0,,,,,,,,,,
2014-11-17,46.0,Mon,1,野菜ごろごろシチュー,433.0,,,,0.0,12.1,1.0,,,,,,,,,,,1.0,,,
2014-11-18,50.0,Tue,1,麻婆豆腐,409.0,,,,0.0,12.9,,,1.0,,,,,,,,,,,,
2014-11-19,50.0,Wed,0,ベルギー風チキンのクリーム煮,430.0,こだわりメニュー,,,0.0,12.1,,,,,1.0,,,,,,,,,,
2014-11-20,46.0,Thu,1,スタミナ炒め,421.0,,,,17.5,9.1,1.0,,,,,,,,,,,,1.0,,
2014-11-21,93.0,Fri,0,ロコモコ丼,,お楽しみメニュー,,,0.0,12.3,,,1.0,,,,1.0,,,,,,,,
2014-11-25,56.0,Tue,1,なすと挽肉のはさみ揚げ,460.0,,,,10.0,11.1,,,,1.0,,,,,,,,,,,
2014-11-26,66.0,Wed,1,鶏肉の治部煮風,415.0,,,,44.0,9.2,,,,1.0,,,,,,,,,,,
2014-11-27,44.0,Thu,0,牛丼風,420.0,,,,1.5,12.9,,,1.0,,,,,,,,,,,,
2014-11-28,31.0,Fri,0,鶏肉のスイートチリソース,416.0,,,,0.0,14.1,1.0,,,,,,,,,,,1.0,,,
2014-12-01,60.0,Mon,1,焼き肉ビビンバ,435.0,,,,11.0,13.5,1.0,,,,,,,,,,,,1.0,,
2014-12-02,53.0,Tue,0,チキンのガーリックバター炒め,445.0,,,,0.0,10.8,,,,,1.0,,,,,,,,,,
2014-12-03,51.0,Wed,0,ハンバーグ・ミートソース,430.0,,,,0.0,8.2,,,1.0,,,,,,,,,,,,
2014-12-04,43.0,Thu,0,チキン山賊焼き,420.0,,,,5.0,8.8,1.0,,,,,,,,,,,,1.0,,
2014-12-05,32.0,Fri,1,手作りロースカツ,443.0,,,,0.0,8.3,,,1.0,,,,1.0,,,,,,,,
